Date,Open,High,Low,Close,Volume
2019-02-18,173.546,174.404,170.251,170.729,186105.48562068
2019-02-19,170.729,173.078,165.064,167.51,206947.85595659
2019-02-20,167.413,172.23,165.814,172.23,220674.57008787
2019-02-21,172.132,172.132,167.89,169.774,237056.57881611
2019-02-22,169.031,170.914,167.228,168.173,240030.83695872
2019-02-25,168.173,172.425,168.173,171.665,141239.31434253
2019-02-26,171.665,175.243,169.587,175.154,207676.03639841
2019-02-27,174.404,179.494,172.045,178.743,344192.43393172
2019-02-28,179.212,183.93,178.46,179.299,314934.96426474
2019-03-01,181.093,182.038,178.84,182.038,139188.10183039
2019-03-04,181.093,182.701,177.037,178.646,157092.11024265
2019-03-05,177.885,179.212,176.481,176.948,77965.561980386
2019-03-06,178.178,178.559,176.286,177.32,171074.20033168
2019-03-07,177.32,178.266,174.492,174.872,139592.19069528
2019-03-08,174.784,176.383,172.23,172.61,160859.1620212
2019-03-11,171.665,173.829,171.285,171.568,237925.26731501
2019-03-12,173.643,174.589,166.477,169.684,288575.85787741
2019-03-13,169.774,173.643,167.989,173.546,259662.99191247
2019-03-14,173.643,174.209,172.045,173.166,172991.05842428
2019-03-15,172.708,176.383,172.425,175.525,402181.23725633
2019-03-18,175.525,178.743,173.546,177.7,202371.600842
2019-03-19,176.764,179.494,175.057,177.603,144835.08987633
2019-03-20,179.962,179.962,175.154,175.525,172413.64210211
2019-03-21,175.623,176.286,172.23,174.784,173653.60006571
2019-03-22,176.481,177.983,174.404,175.34,147642.17419919
2019-03-25,174.307,177.037,172.893,174.024,203327.46587266
2019-03-26,174.97,175.72,172.708,175.243,114704.82928542
2019-03-27,175.72,188.649,173.36,184.778,766798.61977774
2019-03-28,185.813,190.902,183.267,189.771,381573.73075306
2019-03-29,190.531,192.979,184.963,188.649,405108.31751115
2019-04-01,189.585,197.415,188.171,192.423,450087.30547748
2019-04-02,193.36,200.896,193.36,200.624,346878.49671638
2019-04-03,202.788,207.409,202.319,207.409,466458.03253691
2019-04-04,207.506,207.984,192.979,195.241,703418.20436496
2019-04-05,195.241,196.099,189.205,192.423,386234.08558065
2019-04-08,193.544,196.566,190.999,192.607,366960.89281654
2019-04-09,194.022,194.207,191.282,191.759,232221.87092499
2019-04-10,191.759,196.099,191.759,196.099,324138.75480673
2019-04-11,197.317,201.852,196.839,201.189,331912.85022777
2019-04-12,202.602,202.602,196.665,196.665,237907.83200866
2019-04-15,197.132,201.189,197.132,200.437,156638.79227746
2019-04-16,200.896,202.135,195.144,195.904,160235.59341751
2019-04-17,195.718,195.718,188.922,189.585,442242.44322478
2019-04-18,189.585,191.466,184.963,190.531,248424.39855843
2019-04-23,191.466,195.718,191.466,195.241,212377.41547624
2019-04-24,197.6,200.341,194.782,199.199,245718.84925491
2019-04-25,199.579,200.437,195.338,197.98,195392.35026942
2019-04-26,196.566,199.96,196.566,199.579,121942.53263453
2019-04-29,200.437,201.276,198.36,200.437,112006.45922569
2019-04-30,199.96,202.7,198.077,202.7,217184.43199846
2019-05-02,202.788,204.396,198.459,200.721,207411.42998434
2019-05-06,198.36,199.774,196.284,197.883,131312.47139001
2019-05-07,199.013,203.636,198.077,198.176,212042.04223051
2019-05-08,198.643,203.07,198.643,202.788,210568.24604053
2019-05-09,203.265,207.028,201.091,202.135,227042.55933182
2019-05-10,203.45,203.733,199.296,200.057,157323.89725651
2019-05-13,200.057,200.994,193.642,195.055,305450.15760857
2019-05-14,196.186,199.394,194.588,197.512,210156.97793184
2019-05-15,199.677,200.437,195.816,197.415,158510.52369479
2019-05-16,197.317,201.276,197.317,200.437,291767.54454632
2019-05-17,200.534,200.721,196.284,199.111,162571.92446884
2019-05-20,198.459,199.394,191.282,194.588,233241.32354353
2019-05-21,194.782,196.839,190.629,193.642,220175.09984116
2019-05-22,194.305,196.566,190.902,191.759,484895.35620232
2019-05-23,192.423,197.6,192.423,194.305,278569.01763691
2019-05-24,201.569,212.128,200.243,205.995,756375.38339727
2019-05-27,206.57,209.389,203.45,204.113,173515.14322114
2019-05-28,203.733,208.072,201.656,201.656,758762.99476141
2019-05-29,202.788,202.885,194.402,197.795,457055.27438123
2019-05-30,198.077,203.48,193.905,203.1,269643.16639032
2019-05-31,199.969,202.056,195.611,196.937,444152.12207359
2019-06-03,197.795,198.643,192.394,192.394,384385.9431072
2019-06-04,192.394,196.176,187.079,196.176,499904.07815369
2019-06-05,198.077,200.447,196.839,198.839,202972.60610806
2019-06-06,199.687,201.49,196.937,200.915,215191.67904291
2019-06-07,201.871,208.121,201.773,208.023,287352.30961392
2019-06-10,219.968,220.825,208.501,216.555,935514.9513267
2019-06-11,217.13,217.598,208.686,209.925,620510.24583656
2019-06-12,210.87,211.25,199.209,199.306,645292.99540829
2019-06-13,198.077,204.523,194.285,195.806,716976.71907024
2019-06-14,196.176,198.36,195.611,197.6,477502.78630855
2019-06-17,197.6,198.926,192.861,193.34,268771.40107266
2019-06-18,193.34,197.317,190.112,193.807,429673.6385566
2019-06-19,195.231,197.512,194.285,196.752,266893.51601778
2019-06-21,196.655,197.415,191.536,192.013,732977.20227123
2019-06-24,194.188,195.709,190.776,190.776,409668.16292566
2019-06-25,193.34,194.471,191.253,191.819,539282.23035561
2019-06-26,192.199,197.6,191.916,197.6,320287.60331518
2019-06-27,197.6,203.197,196.372,202.915,422958.9943981
2019-06-28,203.666,207.175,203.1,204.046,770881.55828316
2019-07-01,206.892,207.175,199.687,205.284,331713.88261408
2019-07-02,205.088,205.088,198.74,203.763,295261.78506076
2019-07-03,202.817,204.523,201.11,204.523,143414.62521166
2019-07-04,203.763,204.328,200.447,202.339,118707.77050287
2019-07-05,202.339,206.034,201.871,205.567,186396.75779741
2019-07-08,204.426,206.034,202.817,205.654,327217.62478747
2019-07-09,204.046,204.806,201.012,201.392,246597.79381636
2019-07-10,201.773,205.654,201.49,204.621,175873.01200384
2019-07-11,205.284,206.034,203.763,206.034,318656.88936802
2019-07-12,206.132,208.121,205.186,205.849,234715.11973351
2019-07-15,205.849,207.555,205.186,206.61,92002.009200996
2019-07-16,206.697,207.555,205.751,206.415,90912.815357047
2019-07-17,206.61,210.587,205.654,207.838,242432.80681045
2019-07-18,206.61,209.446,205.947,208.121,180189.78873566
2019-07-19,209.066,214.098,208.599,211.348,442926.52259758
2019-07-22,211.348,214.566,211.25,213.141,169581.9432291
2019-07-23,213.24,214.186,210.967,212.761,163394.46068621
2019-07-24,212.761,215.044,212.294,214.762,236936.58288416
2019-07-25,214.946,215.512,209.642,210.11,305448.10639606
2019-07-26,210.393,213.62,207.838,212.478,206566.33042933
2019-07-29,213.24,214.381,210.685,211.25,81548.004632848
2019-07-30,211.631,214.098,210.685,214.098,116662.71162826
2019-07-31,213.903,219.022,212.859,217.978,490219.2782776
2019-08-01,217.794,219.968,215.424,217.978,288873.28369168
2019-08-02,216.087,217.881,213.425,213.717,212767.14585355
2019-08-05,213.24,214.186,200.632,200.632,383798.27072248
2019-08-06,200.632,210.393,200.544,206.512,340664.34841083
2019-08-07,208.783,210.11,202.154,203.763,317869.22376336
2019-08-08,206.892,208.882,205.186,206.512,200168.59860395
2019-08-09,208.599,210.207,206.132,206.99,247595.70870352
2019-08-12,208.218,212.196,206.317,208.501,139912.17984718
2019-08-13,208.501,213.425,208.501,212.294,342955.5527869
2019-08-14,211.728,213.24,208.218,208.783,390881.10752692
2019-08-16,208.783,220.63,206.415,219.207,501694.7866768
2019-08-19,219.207,226.315,219.119,223.663,396556.81254802
2019-08-20,223.663,225.467,217.033,221.956,300490.32575421
2019-08-21,221.011,225.652,221.011,225.564,200941.90572104
2019-08-22,225.564,228.314,221.956,226.89,424820.46975287
2019-08-23,227.456,228.88,223.574,227.836,217056.23121644
2019-08-26,223.663,228.88,222.532,228.5,193181.14318133
2019-08-27,228.402,233.998,227.836,232.379,606696.35517351
2019-08-28,232.858,233.716,227.271,229.923,270337.50182567
2019-08-29,229.347,235.227,228.402,235.227,347861.0275097
2019-08-30,236.933,246.225,236.173,239.78,852213.15999597
2019-09-02,239.78,240.629,234.661,236.933,201887.51468913
2019-09-03,236.65,237.411,233.52,236.084,198290.71354909
2019-09-04,237.411,240.911,237.118,238.162,303548.68360982
2019-09-05,239.78,241.487,237.694,238.737,232360.32776956
2019-09-06,240.063,242.335,237.878,242.15,213109.69834307
2019-09-09,243.378,248.019,243.095,246.41,311425.33965646
2019-09-10,246.41,247.268,234.563,235.987,434618.08631713
2019-09-11,236.933,240.629,236.455,238.825,247839.80299246
2019-09-12,240.726,241.39,235.987,237.878,183411.21798598
2019-09-13,237.878,239.78,235.041,235.704,178542.66508841
2019-09-16,235.509,240.346,234.379,237.498,272896.38943458
2019-09-17,237.118,237.595,235.509,236.933,155782.41105364
2019-09-18,236.747,237.118,231.716,232.575,291924.46230349
2019-09-19,232.672,234.846,231.054,232.009,147416.54082286
2019-09-20,233.14,234.183,228.217,231.346,457654.22843478
2019-09-23,231.346,234.086,224.043,230.684,230808.58550412
2019-09-24,230.966,235.509,229.64,235.509,211687.1824659
2019-09-25,235.987,235.987,228.5,232.097,149019.5634011
2019-09-26,232.195,235.227,232.195,235.041,92651.21796109
2019-09-27,234.379,234.944,231.629,232.292,69457.132480007
2019-09-30,232.76,232.76,229.347,230.684,131627.33251062
2019-10-01,231.346,232.195,225.467,228.217,358490.41074763
2019-10-02,227.553,227.641,221.772,222.054,228752.2449607
2019-10-03,220.825,228.119,220.825,226.51,154088.10951861
2019-10-04,226.979,231.249,224.238,226.227,165453.8780484
2019-10-07,227.271,228.314,223.663,223.663,137701.99836534
2019-10-08,225.368,225.467,218.924,221.011,222743.21790636
2019-10-09,222.717,226.13,221.108,225.749,117797.03214748
2019-10-10,226.51,226.979,217.978,218.457,249379.23798283
2019-10-11,220.728,225.184,219.869,224.608,175593.02149594
2019-10-14,225.749,230.303,221.772,230.303,144530.48481827
2019-10-15,231.249,235.324,230.391,233.9,159404.85235008
2019-10-16,233.998,233.998,228.217,228.402,142231.07559215
2019-10-17,228.021,229.64,222.434,222.434,244359.92096561
2019-10-18,222.717,225.944,220.533,222.717,110378.8220973
2019-10-21,225.086,226.13,219.869,220.825,104953.36500269
2019-10-22,220.825,224.608,219.022,222.336,184643.99670578
2019-10-23,222.532,224.14,221.108,223.097,103565.71973821
2019-10-24,224.608,230.868,223.283,229.26,279424.37325448
2019-10-25,229.26,231.716,227.934,229.728,142603.37066311
2019-10-28,229.825,232.097,229.728,232.097,70959.645645153
2019-10-29,232.195,235.324,231.814,233.14,250432.53560781
2019-10-30,232.292,241.009,232.292,241.009,341817.12984266
2019-10-31,241.009,243.564,237.215,238.923,208185.76270767
2019-11-04,243.378,245.182,240.629,244.802,276794.71881391
2019-11-05,244.986,246.225,240.726,241.857,225695.93831761
2019-11-06,242.618,245.932,239.966,245.932,184902.44948231
2019-11-07,246.225,253.898,245.932,253.518,287508.20176484
2019-11-08,252.096,252.096,247.17,247.17,252011.96924217
2019-11-12,248.964,250.202,243.095,246.41,322134.72018237
2019-11-13,246.41,252.856,246.41,251.432,281003.80688883
2019-11-14,252.29,252.476,245.085,247.356,268685.25014714
2019-11-15,247.736,251.052,246.976,248.78,188401.81802803
2019-11-18,251.052,251.813,249.442,251.813,127914.63786364
2019-11-19,252.096,253.518,249.725,251.627,138814.78115318
2019-11-20,251.335,253.041,249.92,253.041,189228.45667043
2019-11-21,253.041,253.421,246.41,249.637,206157.11353316
2019-11-22,252.007,254.845,248.019,252.096,220978.14953967
2019-11-25,253.041,253.898,249.822,252.096,116244.26427579
2019-11-26,252.856,253.997,250.009,252.573,433623.24824875
2019-11-27,253.518,254.377,251.247,254.377,139270.15033087
2019-11-28,253.997,255.127,252.856,255.127,63490.155282177
2019-11-29,255.127,255.127,247.356,248.78,258647.64171896
2019-12-02,250.202,251.052,240.531,244.041,362766.16322919
2019-12-03,244.519,248.214,243.475,243.564,221766.84075058
2019-12-04,245.845,248.4,244.519,246.693,214437.85844469
